Plate_Num,Well,Mutant,Media,Target,BioRep,TechRep
1,A1,WT,YPD,WT,1,1
1,A2,WT,YPD,WT,1,2
1,A3,WT,YPD_Aux,WT,1,1
1,A4,WT,YPD_Aux,WT,1,2
1,A7,WT,YPD,WT,2,1
1,A8,WT,YPD,WT,2,2
1,A9,WT,YPD_Aux,WT,2,1
1,A10,WT,YPD_Aux,WT,2,2
1,B1,Ctr9-AID-osTIR,YPD,Ctr9,1,1
1,B2,Ctr9-AID-osTIR,YPD,Ctr9,1,2
1,B3,Ctr9-AID-osTIR,YPD_Aux,Ctr9,1,1
1,B4,Ctr9-AID-osTIR,YPD_Aux,Ctr9,1,2
1,B7,Cdc73-AID-osTIR,YPD,Cdc73,2,1
1,B8,Cdc73-AID-osTIR,YPD,Cdc73,2,2
1,B9,Cdc73-AID-osTIR,YPD_Aux,Cdc73,2,1
1,B10,Cdc73-AID-osTIR,YPD_Aux,Cdc73,2,2
1,C1,Ctr9-AID,YPD,Ctr9,1,1
1,C2,Ctr9-AID,YPD,Ctr9,1,2
1,C3,Ctr9-AID,YPD_Aux,Ctr9,1,1
1,C4,Ctr9-AID,YPD_Aux,Ctr9,1,2
1,C7,Cdc73-AID,YPD,Cdc73,2,1
1,C8,Cdc73-AID,YPD,Cdc73,2,2
1,C9,Cdc73-AID,YPD_Aux,Cdc73,2,1
1,C10,Cdc73-AID,YPD_Aux,Cdc73,2,2
1,D1,ctr9D,YPD,Ctr9,1,1
1,D2,ctr9D,YPD,Ctr9,1,2
1,D3,ctr9D,YPD_Aux,Ctr9,1,1
1,D4,ctr9D,YPD_Aux,Ctr9,1,2
1,D7,cdc73D,YPD,Cdc73,2,1
1,D8,cdc73D,YPD,Cdc73,2,2
1,D9,cdc73D,YPD_Aux,Cdc73,2,1
1,D10,cdc73D,YPD_Aux,Cdc73,2,2
1,E1,Blank,YPD,Blank,1,1
1,E2,Blank,YPD,Blank,1,2
1,E3,Blank,YPD,Blank,1,3
1,E4,Blank,YPD,Blank,1,4
1,E7,Blank,YPD,Blank,1,5
1,E8,Blank,YPD,Blank,1,6
1,E9,Blank,YPD,Blank,1,7
1,E10,Blank,YPD,Blank,1,8
1,F1,Cdc73-AID-osTIR,YPD,Cdc73,1,1
1,F2,Cdc73-AID-osTIR,YPD,Cdc73,1,2
1,F3,Cdc73-AID-osTIR,YPD_Aux,Cdc73,1,1
1,F4,Cdc73-AID-osTIR,YPD_Aux,Cdc73,1,2
1,F7,Ctr9-AID-osTIR,YPD,Ctr9,2,1
1,F8,Ctr9-AID-osTIR,YPD,Ctr9,2,2
1,F9,Ctr9-AID-osTIR,YPD_Aux,Ctr9,2,1
1,F10,Ctr9-AID-osTIR,YPD_Aux,Ctr9,2,2
1,G1,Cdc73-AID,YPD,Cdc73,1,1
1,G2,Cdc73-AID,YPD,Cdc73,1,2
1,G3,Cdc73-AID,YPD_Aux,Cdc73,1,1
1,G4,Cdc73-AID,YPD_Aux,Cdc73,1,2
1,G7,Ctr9-AID,YPD,Ctr9,2,1
1,G8,Ctr9-AID,YPD,Ctr9,2,2
1,G9,Ctr9-AID,YPD_Aux,Ctr9,2,1
1,G10,Ctr9-AID,YPD_Aux,Ctr9,2,2
1,H1,cdc73D,YPD,Cdc73,1,1
1,H2,cdc73D,YPD,Cdc73,1,2
1,H3,cdc73D,YPD_Aux,Cdc73,1,1
1,H4,cdc73D,YPD_Aux,Cdc73,1,2
1,H7,ctr9D,YPD,Ctr9,2,1
1,H8,ctr9D,YPD,Ctr9,2,2
1,H9,ctr9D,YPD_Aux,Ctr9,2,1
1,H10,ctr9D,YPD_Aux,Ctr9,2,2
