"","Mutant","BioRep_Index","YPD_DT","Aux_DT","DifDT"
"1","Cdc73-AID","Cdc73-AID_1","2.4483199102663","2.46500889602235",0.0166889857560504
"2","Cdc73-AID","Cdc73-AID_2","2.60531025386455","2.71129628986883",0.10598603600428
"3","Cdc73-AID-osTIR","Cdc73-AID-osTIR_1","2.56104792951214","2.66462571734958",0.10357778783744
"4","Cdc73-AID-osTIR","Cdc73-AID-osTIR_2","2.50835414877627","2.78291047511022",0.27455632633395
"5","cdc73D","cdc73D_1","2.30571631213433","2.10748593176268",-0.19823038037165
"6","cdc73D","cdc73D_2","2.35500802138737","2.33792710169023",-0.0170809196971398
"7","Ctr9-AID","Ctr9-AID_1","2.15065780653092","2.15471279714189",0.0040549906109697
"8","Ctr9-AID","Ctr9-AID_2","2.12761360477271","2.21243077186424",0.0848171670915301
"9","Ctr9-AID","Ctr9-AID_3","2.16947460090255","2.46932468916793",0.29985008826538
"10","Ctr9-AID","Ctr9-AID_4","2.29895976807805","2.56537012589035",0.2664103578123
"11","Ctr9-AID-osTIR","Ctr9-AID-osTIR_1","2.1588060231132","2.70581912307909",0.54701309996589
"12","Ctr9-AID-osTIR","Ctr9-AID-osTIR_2","2.08885042633034","2.40629506572105",0.31744463939071
"13","Ctr9-AID-osTIR","Ctr9-AID-osTIR_3","2.23974798669275","2.82700735489556",0.58725936820281
"14","Ctr9-AID-osTIR","Ctr9-AID-osTIR_4","2.36649522859929","3.26375202404677",0.89725679544748
"15","ctr9D","ctr9D_1","4.02183565576748","4.0662826574149",0.0444470016474199
"16","ctr9D","ctr9D_2","4.21529896479925","3.9703262516485",-0.24497271315075
"17","ctr9D","ctr9D_3","3.77607988132367","4.65088902485985",0.87480914353618
"18","ctr9D","ctr9D_4","3.91843276936074","4.985355062361",1.06692229300026
"19","htz1D_Rtf1-AID","htz1D_Rtf1-AID_1","2.41705213589043","2.64215178102518",0.22509964513475
"20","htz1D_Rtf1-AID","htz1D_Rtf1-AID_2","2.51074047227989","2.75841179378782",0.24767132150793
"21","htz1D_Rtf1-AID-osTIR","htz1D_Rtf1-AID-osTIR_1","2.13982369343778","4.44979658362639",2.30997289018861
"22","htz1D_Rtf1-AID-osTIR","htz1D_Rtf1-AID-osTIR_2","3.55239789368108","2.56005983541902",-0.99233805826206
"23","htz1D","htz1D_1","2.33738230450167","2.85915932309431",0.52177701859264
